year,occupancy_date,overnight_service_type,service_user_count,capacity_type,capacity_actual_bed,occupancy_rate_beds,capacity_actual_room,occupancy_rate_rooms
2024,2024-02-03,Motel/Hotel Shelter,22,Room Based Capacity,NA,NA,12,91.67
2024,2024-02-03,Motel/Hotel Shelter,80,Room Based Capacity,NA,NA,83,96.39
2024,2024-02-03,Motel/Hotel Shelter,26,Room Based Capacity,NA,NA,15,100
2024,2024-02-03,Motel/Hotel Shelter,77,Room Based Capacity,NA,NA,77,100
2024,2024-02-03,Shelter,15,Bed Based Capacity,18,83.33,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,103,Room Based Capacity,NA,NA,103,100
2024,2024-02-03,Shelter,160,Room Based Capacity,NA,NA,46,100
2024,2024-02-03,Motel/Hotel Shelter,131,Room Based Capacity,NA,NA,45,100
2024,2024-02-03,Motel/Hotel Shelter,41,Room Based Capacity,NA,NA,17,94.12
2024,2024-02-03,Shelter,61,Bed Based Capacity,68,89.71,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,65,Room Based Capacity,NA,NA,63,98.41
2024,2024-02-03,Shelter,48,Bed Based Capacity,48,100,NA,NA
2024,2024-02-03,Shelter,101,Bed Based Capacity,101,100,NA,NA
2024,2024-02-03,Shelter,80,Room Based Capacity,NA,NA,32,100
2024,2024-02-03,Warming Centre,48,Bed Based Capacity,48,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,158,Room Based Capacity,NA,NA,143,99.3
2024,2024-02-03,Isolation/Recovery Site,5,Room Based Capacity,NA,NA,5,100
2024,2024-02-03,Shelter,93,Bed Based Capacity,93,100,NA,NA
2024,2024-02-03,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-02-03,Shelter,66,Bed Based Capacity,67,98.51,NA,NA
2024,2024-02-03,Shelter,121,Bed Based Capacity,121,100,NA,NA
2024,2024-02-03,Shelter,35,Bed Based Capacity,36,97.22,NA,NA
2024,2024-02-03,Shelter,18,Bed Based Capacity,18,100,NA,NA
2024,2024-02-03,Shelter,53,Bed Based Capacity,53,100,NA,NA
2024,2024-02-03,Shelter,101,Bed Based Capacity,101,100,NA,NA
2024,2024-02-03,Shelter,34,Bed Based Capacity,35,97.14,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,66,Room Based Capacity,NA,NA,65,96.92
2024,2024-02-03,Shelter,87,Bed Based Capacity,88,98.86,NA,NA
2024,2024-02-03,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-02-03,Shelter,1,Bed Based Capacity,2,50,NA,NA
2024,2024-02-03,Shelter,94,Bed Based Capacity,94,100,NA,NA
2024,2024-02-03,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-03,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-02-03,24-Hour Respite Site,78,Bed Based Capacity,78,100,NA,NA
2024,2024-02-03,24-Hour Respite Site,139,Bed Based Capacity,139,100,NA,NA
2024,2024-02-03,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,81,Room Based Capacity,NA,NA,79,98.73
2024,2024-02-03,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-02-03,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-03,Warming Centre,30,Bed Based Capacity,46,65.22,NA,NA
2024,2024-02-03,Shelter,49,Bed Based Capacity,50,98,NA,NA
2024,2024-02-03,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,46,Room Based Capacity,NA,NA,46,100
2024,2024-02-03,Shelter,5,Bed Based Capacity,5,100,NA,NA
2024,2024-02-03,Shelter,10,Bed Based Capacity,10,100,NA,NA
2024,2024-02-03,Shelter,36,Bed Based Capacity,37,97.3,NA,NA
2024,2024-02-03,Shelter,24,Bed Based Capacity,26,92.31,NA,NA
2024,2024-02-03,24-Hour Women's Drop-in,52,Bed Based Capacity,52,100,NA,NA
2024,2024-02-03,Shelter,36,Bed Based Capacity,36,100,NA,NA
2024,2024-02-03,Shelter,70,Bed Based Capacity,70,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,281,Room Based Capacity,NA,NA,267,100
2024,2024-02-03,24-Hour Respite Site,65,Bed Based Capacity,70,92.86,NA,NA
2024,2024-02-03,24-Hour Respite Site,147,Bed Based Capacity,150,98,NA,NA
2024,2024-02-03,24-Hour Respite Site,60,Bed Based Capacity,60,100,NA,NA
2024,2024-02-03,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-02-03,Shelter,26,Bed Based Capacity,26,100,NA,NA
2024,2024-02-03,Shelter,22,Bed Based Capacity,25,88,NA,NA
2024,2024-02-03,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-02-03,Shelter,4,Bed Based Capacity,5,80,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,47,100
2024,2024-02-03,Shelter,61,Bed Based Capacity,61,100,NA,NA
2024,2024-02-03,Shelter,107,Bed Based Capacity,111,96.4,NA,NA
2024,2024-02-03,Shelter,33,Bed Based Capacity,34,97.06,NA,NA
2024,2024-02-03,Shelter,65,Bed Based Capacity,65,100,NA,NA
2024,2024-02-03,24-Hour Respite Site,73,Bed Based Capacity,73,100,NA,NA
2024,2024-02-03,Shelter,89,Bed Based Capacity,89,100,NA,NA
2024,2024-02-03,Shelter,278,Bed Based Capacity,278,100,NA,NA
2024,2024-02-03,Shelter,132,Bed Based Capacity,132,100,NA,NA
2024,2024-02-03,Alternative Space Protocol,1,Bed Based Capacity,1,100,NA,NA
2024,2024-02-03,Alternative Space Protocol,2,Bed Based Capacity,2,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,387,Room Based Capacity,NA,NA,325,100
2024,2024-02-03,24-Hour Respite Site,38,Bed Based Capacity,38,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,357,Room Based Capacity,NA,NA,179,100
2024,2024-02-03,Shelter,19,Bed Based Capacity,19,100,NA,NA
2024,2024-02-03,Shelter,87,Bed Based Capacity,87,100,NA,NA
2024,2024-02-03,Shelter,48,Bed Based Capacity,49,97.96,NA,NA
2024,2024-02-03,Shelter,45,Bed Based Capacity,45,100,NA,NA
2024,2024-02-03,Shelter,23,Bed Based Capacity,23,100,NA,NA
2024,2024-02-03,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-03,Shelter,54,Bed Based Capacity,54,100,NA,NA
2024,2024-02-03,Shelter,16,Bed Based Capacity,17,94.12,NA,NA
2024,2024-02-03,Shelter,11,Bed Based Capacity,12,91.67,NA,NA
2024,2024-02-03,Shelter,13,Bed Based Capacity,15,86.67,NA,NA
2024,2024-02-03,24-Hour Women's Drop-in,16,Bed Based Capacity,16,100,NA,NA
2024,2024-02-03,Shelter,20,Bed Based Capacity,20,100,NA,NA
2024,2024-02-03,Shelter,41,Bed Based Capacity,41,100,NA,NA
2024,2024-02-03,Shelter,39,Bed Based Capacity,39,100,NA,NA
2024,2024-02-03,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-03,24-Hour Respite Site,72,Bed Based Capacity,72,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,30,Room Based Capacity,NA,NA,30,100
2024,2024-02-03,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,33,100
2024,2024-02-03,Shelter,222,Room Based Capacity,NA,NA,77,100
2024,2024-02-03,Shelter,94,Bed Based Capacity,94,100,NA,NA
2024,2024-02-03,Shelter,78,Room Based Capacity,NA,NA,27,92.59
2024,2024-02-03,Shelter,86,Bed Based Capacity,86,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,97,Room Based Capacity,NA,NA,53,100
2024,2024-02-03,Shelter,78,Bed Based Capacity,78,100,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,130,Room Based Capacity,NA,NA,130,100
2024,2024-02-03,Shelter,263,Bed Based Capacity,264,99.62,NA,NA
2024,2024-02-03,Motel/Hotel Shelter,95,Room Based Capacity,NA,NA,53,100
2024,2024-02-03,Shelter,52,Bed Based Capacity,52,100,NA,NA
2024,2024-02-03,Shelter,46,Bed Based Capacity,46,100,NA,NA
2024,2024-02-03,Shelter,37,Bed Based Capacity,37,100,NA,NA
2024,2024-02-03,Shelter,71,Bed Based Capacity,71,100,NA,NA
2024,2024-02-03,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-02-03,Shelter,12,Room Based Capacity,NA,NA,4,100
2024,2024-02-03,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-02-03,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-02-03,24-Hour Respite Site,32,Bed Based Capacity,32,100,NA,NA
2024,2024-02-03,Shelter,12,Bed Based Capacity,12,100,NA,NA
2024,2024-02-03,Shelter,85,Room Based Capacity,NA,NA,27,96.3
2024,2024-02-03,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-02-03,Shelter,25,Bed Based Capacity,25,100,NA,NA
2024,2024-02-03,Shelter,31,Bed Based Capacity,31,100,NA,NA
2024,2024-02-03,Shelter,30,Bed Based Capacity,31,96.77,NA,NA
2024,2024-02-03,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-02-03,Shelter,27,Bed Based Capacity,27,100,NA,NA
2024,2024-02-03,Shelter,27,Bed Based Capacity,33,81.82,NA,NA
2024,2024-02-03,Shelter,17,Bed Based Capacity,20,85,NA,NA
2024,2024-02-03,Shelter,10,Bed Based Capacity,10,100,NA,NA
2024,2024-02-03,Shelter,40,Bed Based Capacity,41,97.56,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,656,Room Based Capacity,NA,NA,150,100
2024,2024-02-04,Motel/Hotel Shelter,113,Room Based Capacity,NA,NA,57,100
2024,2024-02-04,Shelter,8,Bed Based Capacity,8,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,201,Room Based Capacity,NA,NA,67,100
2024,2024-02-04,Motel/Hotel Shelter,502,Room Based Capacity,NA,NA,159,100
2024,2024-02-04,Motel/Hotel Shelter,154,Room Based Capacity,NA,NA,142,100
2024,2024-02-04,Motel/Hotel Shelter,39,Room Based Capacity,NA,NA,39,100
2024,2024-02-04,Shelter,42,Bed Based Capacity,42,100,NA,NA
2024,2024-02-04,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-04,Warming Centre,23,Bed Based Capacity,23,100,NA,NA
2024,2024-02-04,Shelter,70,Room Based Capacity,NA,NA,30,96.67
2024,2024-02-04,Shelter,208,Room Based Capacity,NA,NA,61,98.36
2024,2024-02-04,Motel/Hotel Shelter,22,Room Based Capacity,NA,NA,11,100
2024,2024-02-04,Motel/Hotel Shelter,81,Room Based Capacity,NA,NA,82,98.78
2024,2024-02-04,Motel/Hotel Shelter,26,Room Based Capacity,NA,NA,15,100
2024,2024-02-04,Motel/Hotel Shelter,77,Room Based Capacity,NA,NA,77,100
2024,2024-02-04,Shelter,15,Bed Based Capacity,18,83.33,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,102,Room Based Capacity,NA,NA,102,100
2024,2024-02-04,Shelter,160,Room Based Capacity,NA,NA,46,100
2024,2024-02-04,Motel/Hotel Shelter,131,Room Based Capacity,NA,NA,45,100
2024,2024-02-04,Motel/Hotel Shelter,46,Room Based Capacity,NA,NA,18,100
2024,2024-02-04,Shelter,61,Bed Based Capacity,68,89.71,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,65,Room Based Capacity,NA,NA,63,98.41
2024,2024-02-04,Shelter,48,Bed Based Capacity,48,100,NA,NA
2024,2024-02-04,Shelter,101,Bed Based Capacity,101,100,NA,NA
2024,2024-02-04,Shelter,80,Room Based Capacity,NA,NA,32,100
2024,2024-02-04,Warming Centre,48,Bed Based Capacity,48,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,159,Room Based Capacity,NA,NA,143,100
2024,2024-02-04,Isolation/Recovery Site,5,Room Based Capacity,NA,NA,5,100
2024,2024-02-04,Shelter,93,Bed Based Capacity,93,100,NA,NA
2024,2024-02-04,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-02-04,Shelter,66,Bed Based Capacity,67,98.51,NA,NA
2024,2024-02-04,Shelter,121,Bed Based Capacity,121,100,NA,NA
2024,2024-02-04,Shelter,36,Bed Based Capacity,36,100,NA,NA
2024,2024-02-04,Shelter,18,Bed Based Capacity,18,100,NA,NA
2024,2024-02-04,Shelter,53,Bed Based Capacity,53,100,NA,NA
2024,2024-02-04,Shelter,100,Bed Based Capacity,101,99.01,NA,NA
2024,2024-02-04,Shelter,34,Bed Based Capacity,35,97.14,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,64,Room Based Capacity,NA,NA,65,95.38
2024,2024-02-04,Shelter,88,Bed Based Capacity,88,100,NA,NA
2024,2024-02-04,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-02-04,Shelter,1,Bed Based Capacity,2,50,NA,NA
2024,2024-02-04,Shelter,94,Bed Based Capacity,94,100,NA,NA
2024,2024-02-04,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-04,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-02-04,24-Hour Respite Site,78,Bed Based Capacity,78,100,NA,NA
2024,2024-02-04,24-Hour Respite Site,147,Bed Based Capacity,147,100,NA,NA
2024,2024-02-04,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,81,Room Based Capacity,NA,NA,79,98.73
2024,2024-02-04,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-02-04,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-04,Warming Centre,43,Bed Based Capacity,46,93.48,NA,NA
2024,2024-02-04,Shelter,49,Bed Based Capacity,50,98,NA,NA
2024,2024-02-04,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,46,Room Based Capacity,NA,NA,46,100
2024,2024-02-04,Shelter,5,Bed Based Capacity,5,100,NA,NA
2024,2024-02-04,Shelter,10,Bed Based Capacity,10,100,NA,NA
2024,2024-02-04,Shelter,36,Bed Based Capacity,37,97.3,NA,NA
2024,2024-02-04,Shelter,24,Bed Based Capacity,26,92.31,NA,NA
2024,2024-02-04,24-Hour Women's Drop-in,52,Bed Based Capacity,52,100,NA,NA
2024,2024-02-04,Shelter,36,Bed Based Capacity,36,100,NA,NA
2024,2024-02-04,Shelter,70,Bed Based Capacity,70,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,281,Room Based Capacity,NA,NA,267,100
2024,2024-02-04,24-Hour Respite Site,63,Bed Based Capacity,70,90,NA,NA
2024,2024-02-04,24-Hour Respite Site,146,Bed Based Capacity,150,97.33,NA,NA
2024,2024-02-04,24-Hour Respite Site,55,Bed Based Capacity,57,96.49,NA,NA
2024,2024-02-04,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-02-04,Shelter,26,Bed Based Capacity,26,100,NA,NA
2024,2024-02-04,Shelter,22,Bed Based Capacity,25,88,NA,NA
2024,2024-02-04,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-02-04,Shelter,4,Bed Based Capacity,5,80,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,47,100
2024,2024-02-04,Shelter,61,Bed Based Capacity,61,100,NA,NA
2024,2024-02-04,Shelter,110,Bed Based Capacity,112,98.21,NA,NA
2024,2024-02-04,Shelter,34,Bed Based Capacity,34,100,NA,NA
2024,2024-02-04,Shelter,66,Bed Based Capacity,66,100,NA,NA
2024,2024-02-04,24-Hour Respite Site,73,Bed Based Capacity,73,100,NA,NA
2024,2024-02-04,Shelter,89,Bed Based Capacity,89,100,NA,NA
2024,2024-02-04,Shelter,278,Bed Based Capacity,278,100,NA,NA
2024,2024-02-04,Shelter,132,Bed Based Capacity,132,100,NA,NA
2024,2024-02-04,Alternative Space Protocol,1,Bed Based Capacity,1,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,387,Room Based Capacity,NA,NA,325,100
2024,2024-02-04,24-Hour Respite Site,38,Bed Based Capacity,38,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,357,Room Based Capacity,NA,NA,179,100
2024,2024-02-04,Shelter,19,Bed Based Capacity,19,100,NA,NA
2024,2024-02-04,Shelter,87,Bed Based Capacity,87,100,NA,NA
2024,2024-02-04,Shelter,49,Bed Based Capacity,49,100,NA,NA
2024,2024-02-04,Shelter,45,Bed Based Capacity,45,100,NA,NA
2024,2024-02-04,Shelter,23,Bed Based Capacity,23,100,NA,NA
2024,2024-02-04,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-04,Shelter,54,Bed Based Capacity,54,100,NA,NA
2024,2024-02-04,Shelter,16,Bed Based Capacity,17,94.12,NA,NA
2024,2024-02-04,Shelter,11,Bed Based Capacity,12,91.67,NA,NA
2024,2024-02-04,Shelter,13,Bed Based Capacity,15,86.67,NA,NA
2024,2024-02-04,24-Hour Women's Drop-in,16,Bed Based Capacity,16,100,NA,NA
2024,2024-02-04,Shelter,20,Bed Based Capacity,20,100,NA,NA
2024,2024-02-04,Shelter,41,Bed Based Capacity,41,100,NA,NA
2024,2024-02-04,Shelter,39,Bed Based Capacity,39,100,NA,NA
2024,2024-02-04,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-04,24-Hour Respite Site,72,Bed Based Capacity,72,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,30,Room Based Capacity,NA,NA,30,100
2024,2024-02-04,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,33,100
2024,2024-02-04,Shelter,222,Room Based Capacity,NA,NA,77,100
2024,2024-02-04,Shelter,94,Bed Based Capacity,94,100,NA,NA
2024,2024-02-04,Shelter,78,Room Based Capacity,NA,NA,27,92.59
2024,2024-02-04,Shelter,86,Bed Based Capacity,86,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,96,Room Based Capacity,NA,NA,53,100
2024,2024-02-04,Shelter,78,Bed Based Capacity,78,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,130,Room Based Capacity,NA,NA,130,100
2024,2024-02-04,Shelter,264,Bed Based Capacity,264,100,NA,NA
2024,2024-02-04,Motel/Hotel Shelter,95,Room Based Capacity,NA,NA,54,100
2024,2024-02-04,Shelter,52,Bed Based Capacity,52,100,NA,NA
2024,2024-02-04,Shelter,46,Bed Based Capacity,46,100,NA,NA
2024,2024-02-04,Shelter,37,Bed Based Capacity,37,100,NA,NA
2024,2024-02-04,Shelter,71,Bed Based Capacity,71,100,NA,NA
2024,2024-02-04,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-02-04,Shelter,12,Room Based Capacity,NA,NA,4,100
2024,2024-02-04,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-02-04,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-02-04,24-Hour Respite Site,32,Bed Based Capacity,32,100,NA,NA
2024,2024-02-04,Shelter,12,Bed Based Capacity,12,100,NA,NA
2024,2024-02-04,Shelter,90,Room Based Capacity,NA,NA,27,100
2024,2024-02-04,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-02-04,Shelter,25,Bed Based Capacity,25,100,NA,NA
2024,2024-02-04,Shelter,31,Bed Based Capacity,31,100,NA,NA
2024,2024-02-04,Shelter,31,Bed Based Capacity,31,100,NA,NA
2024,2024-02-04,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-02-04,Shelter,27,Bed Based Capacity,27,100,NA,NA
2024,2024-02-04,Shelter,26,Bed Based Capacity,33,78.79,NA,NA
2024,2024-02-04,Shelter,17,Bed Based Capacity,20,85,NA,NA
2024,2024-02-04,Shelter,10,Bed Based Capacity,10,100,NA,NA
2024,2024-02-04,Shelter,40,Bed Based Capacity,41,97.56,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,654,Room Based Capacity,NA,NA,150,100
2024,2024-02-05,Motel/Hotel Shelter,113,Room Based Capacity,NA,NA,57,100
2024,2024-02-05,Shelter,8,Bed Based Capacity,8,100,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,201,Room Based Capacity,NA,NA,67,100
2024,2024-02-05,Motel/Hotel Shelter,502,Room Based Capacity,NA,NA,159,100
2024,2024-02-05,Motel/Hotel Shelter,156,Room Based Capacity,NA,NA,144,100
2024,2024-02-05,Motel/Hotel Shelter,39,Room Based Capacity,NA,NA,39,100
2024,2024-02-05,Shelter,42,Bed Based Capacity,42,100,NA,NA
2024,2024-02-05,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-05,Warming Centre,23,Bed Based Capacity,23,100,NA,NA
2024,2024-02-05,Shelter,73,Room Based Capacity,NA,NA,30,100
2024,2024-02-05,Shelter,209,Room Based Capacity,NA,NA,62,96.77
2024,2024-02-05,Motel/Hotel Shelter,24,Room Based Capacity,NA,NA,12,100
2024,2024-02-05,Motel/Hotel Shelter,82,Room Based Capacity,NA,NA,82,100
2024,2024-02-05,Motel/Hotel Shelter,26,Room Based Capacity,NA,NA,15,100
2024,2024-02-05,Motel/Hotel Shelter,76,Room Based Capacity,NA,NA,76,100
2024,2024-02-05,Shelter,15,Bed Based Capacity,18,83.33,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,102,Room Based Capacity,NA,NA,102,100
2024,2024-02-05,Shelter,159,Room Based Capacity,NA,NA,45,100
2024,2024-02-05,Motel/Hotel Shelter,131,Room Based Capacity,NA,NA,45,100
2024,2024-02-05,Motel/Hotel Shelter,48,Room Based Capacity,NA,NA,19,100
2024,2024-02-05,Shelter,63,Bed Based Capacity,68,92.65,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,65,Room Based Capacity,NA,NA,63,98.41
2024,2024-02-05,Shelter,47,Bed Based Capacity,48,97.92,NA,NA
2024,2024-02-05,Shelter,101,Bed Based Capacity,101,100,NA,NA
2024,2024-02-05,Shelter,80,Room Based Capacity,NA,NA,32,100
2024,2024-02-05,Warming Centre,48,Bed Based Capacity,48,100,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,158,Room Based Capacity,NA,NA,143,100
2024,2024-02-05,Isolation/Recovery Site,3,Room Based Capacity,NA,NA,3,100
2024,2024-02-05,Shelter,93,Bed Based Capacity,93,100,NA,NA
2024,2024-02-05,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-02-05,Shelter,68,Bed Based Capacity,68,100,NA,NA
2024,2024-02-05,Shelter,121,Bed Based Capacity,121,100,NA,NA
2024,2024-02-05,Shelter,35,Bed Based Capacity,36,97.22,NA,NA
2024,2024-02-05,Shelter,18,Bed Based Capacity,18,100,NA,NA
2024,2024-02-05,Shelter,53,Bed Based Capacity,53,100,NA,NA
2024,2024-02-05,Shelter,104,Bed Based Capacity,104,100,NA,NA
2024,2024-02-05,Shelter,34,Bed Based Capacity,35,97.14,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,63,Room Based Capacity,NA,NA,65,93.85
2024,2024-02-05,Shelter,88,Bed Based Capacity,88,100,NA,NA
2024,2024-02-05,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-02-05,Shelter,1,Bed Based Capacity,2,50,NA,NA
2024,2024-02-05,Shelter,94,Bed Based Capacity,94,100,NA,NA
2024,2024-02-05,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-05,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-02-05,24-Hour Respite Site,74,Bed Based Capacity,78,94.87,NA,NA
2024,2024-02-05,24-Hour Respite Site,146,Bed Based Capacity,148,98.65,NA,NA
2024,2024-02-05,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,81,Room Based Capacity,NA,NA,79,98.73
2024,2024-02-05,Shelter,61,Bed Based Capacity,61,100,NA,NA
2024,2024-02-05,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-05,Warming Centre,42,Bed Based Capacity,46,91.3,NA,NA
2024,2024-02-05,Shelter,49,Bed Based Capacity,50,98,NA,NA
2024,2024-02-05,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,46,Room Based Capacity,NA,NA,46,100
2024,2024-02-05,Shelter,5,Bed Based Capacity,5,100,NA,NA
2024,2024-02-05,Shelter,10,Bed Based Capacity,10,100,NA,NA
2024,2024-02-05,Shelter,36,Bed Based Capacity,37,97.3,NA,NA
2024,2024-02-05,Shelter,24,Bed Based Capacity,26,92.31,NA,NA
2024,2024-02-05,24-Hour Women's Drop-in,52,Bed Based Capacity,52,100,NA,NA
2024,2024-02-05,Shelter,36,Bed Based Capacity,36,100,NA,NA
2024,2024-02-05,Shelter,70,Bed Based Capacity,70,100,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,280,Room Based Capacity,NA,NA,266,100
2024,2024-02-05,24-Hour Respite Site,68,Bed Based Capacity,70,97.14,NA,NA
2024,2024-02-05,24-Hour Respite Site,145,Bed Based Capacity,145,100,NA,NA
2024,2024-02-05,24-Hour Respite Site,56,Bed Based Capacity,60,93.33,NA,NA
2024,2024-02-05,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-02-05,Shelter,26,Bed Based Capacity,26,100,NA,NA
2024,2024-02-05,Shelter,23,Bed Based Capacity,25,92,NA,NA
2024,2024-02-05,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-02-05,Shelter,4,Bed Based Capacity,5,80,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,47,100
2024,2024-02-05,Shelter,61,Bed Based Capacity,61,100,NA,NA
2024,2024-02-05,Shelter,112,Bed Based Capacity,112,100,NA,NA
2024,2024-02-05,Shelter,34,Bed Based Capacity,34,100,NA,NA
2024,2024-02-05,Shelter,66,Bed Based Capacity,66,100,NA,NA
2024,2024-02-05,24-Hour Respite Site,73,Bed Based Capacity,73,100,NA,NA
2024,2024-02-05,Shelter,89,Bed Based Capacity,89,100,NA,NA
2024,2024-02-05,Shelter,278,Bed Based Capacity,278,100,NA,NA
2024,2024-02-05,Shelter,132,Bed Based Capacity,132,100,NA,NA
2024,2024-02-05,Alternative Space Protocol,6,Bed Based Capacity,6,100,NA,NA
2024,2024-02-05,Alternative Space Protocol,4,Bed Based Capacity,4,100,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,385,Room Based Capacity,NA,NA,323,100
2024,2024-02-05,24-Hour Respite Site,38,Bed Based Capacity,38,100,NA,NA
2024,2024-02-05,Motel/Hotel Shelter,357,Room Based Capacity,NA,NA,180,100
2024,2024-02-05,Shelter,19,Bed Based Capacity,19,100,NA,NA
2024,2024-02-05,Shelter,86,Bed Based Capacity,86,100,NA,NA
2024,2024-02-05,Shelter,49,Bed Based Capacity,49,100,NA,NA
2024,2024-02-05,Shelter,45,Bed Based Capacity,45,100,NA,NA
2024,2024-02-05,Shelter,23,Bed Based Capacity,23,100,NA,NA
2024,2024-02-05,24-Hour Respite Site,30,Bed Based Capacity,30,100,NA,NA
2024,2024-02-05,Shelter,54,Bed Based Capacity,54,100,NA,NA
2024,2024-02-05,Shelter,17,Bed Based Capacity,17,100,NA,NA
2024,2024-02-05,Shelter,11,Bed Based Capacity,12,91.67,NA,NA
2024,2024-02-05,Shelter,11,Bed Based Capacity,15,73.33,NA,NA
